Date,Open,High,Low,Close,Volume
2025-01-02,100.00,101.40,99.40,100.90,1200000
2025-01-03,100.90,102.15,100.20,101.35,1215000
2025-01-06,101.35,102.90,100.85,102.20,1230000
2025-01-07,102.20,103.05,101.55,102.75,1245000
2025-01-08,102.75,104.10,102.15,103.60,1260000
2025-01-09,103.60,104.45,102.90,103.95,1275000
2025-01-10,103.95,105.30,103.20,104.80,1290000
2025-01-13,104.80,105.65,104.10,105.15,1305000
2025-01-14,105.15,106.55,104.55,106.00,1320000
2025-01-15,106.00,106.85,105.30,106.45,1335000
2025-01-16,106.45,107.70,105.75,107.25,1350000
2025-01-17,107.25,108.05,106.55,107.60,1365000
2025-01-21,107.60,109.00,106.95,108.45,1380000
2025-01-22,108.45,109.25,107.75,108.90,1395000
2025-01-23,108.90,110.20,108.20,109.70,1410000
2025-01-24,109.70,110.60,109.00,110.15,1425000
2025-01-27,110.15,111.45,109.45,110.95,1440000
2025-01-28,110.95,111.80,110.25,111.30,1455000
2025-01-29,111.30,112.65,110.70,112.15,1470000
2025-01-30,112.15,113.00,111.45,112.55,1485000
2025-01-31,112.55,113.85,111.85,113.35,1500000
2025-02-03,113.35,114.15,112.65,113.75,1515000
2025-02-04,113.75,115.10,113.10,114.60,1530000
2025-02-05,114.60,115.40,113.90,114.95,1545000
2025-02-06,114.95,116.30,114.25,115.80,1560000
2025-02-07,115.80,116.65,115.10,116.20,1575000
2025-02-10,116.20,117.55,115.55,117.05,1590000
2025-02-11,117.05,117.90,116.35,117.40,1605000
2025-02-12,117.40,118.75,116.70,118.25,1620000
2025-02-13,118.25,119.05,117.55,118.65,1635000
2025-02-14,118.65,120.00,118.00,119.50,1650000
2025-02-18,119.50,120.30,118.80,119.90,1665000
2025-02-19,119.90,121.25,119.20,120.75,1680000
2025-02-20,120.75,121.55,120.05,121.15,1695000
2025-02-21,121.15,122.50,120.50,122.00,1710000
2025-02-24,122.00,122.80,121.30,122.40,1725000
2025-02-25,122.40,123.75,121.75,123.25,1740000
2025-02-26,123.25,124.05,122.55,123.65,1755000
2025-02-27,123.65,125.00,123.00,124.50,1770000
2025-02-28,124.50,125.30,123.80,124.90,1785000
2025-03-03,124.90,126.25,124.20,125.75,1800000
2025-03-04,125.75,126.55,125.05,126.15,1815000
2025-03-05,126.15,127.50,125.50,127.00,1830000
2025-03-06,127.00,127.80,126.30,127.40,1845000
2025-03-07,127.40,128.75,126.75,128.25,1860000
2025-03-10,128.25,129.05,127.55,128.65,1875000
2025-03-11,128.65,130.00,128.00,129.50,1890000
2025-03-12,129.50,130.30,128.80,129.90,1905000
2025-03-13,129.90,131.25,129.20,130.75,1920000
2025-03-14,130.75,131.55,130.05,131.15,1935000
2025-03-17,131.15,132.50,130.50,132.00,1950000
2025-03-18,132.00,132.80,131.30,132.40,1965000
2025-03-19,132.40,133.75,131.75,133.25,1980000
2025-03-20,133.25,134.05,132.55,133.65,1995000
2025-03-21,133.65,135.00,133.00,134.50,2010000
2025-03-24,134.50,135.30,133.80,134.90,2025000
2025-03-25,134.90,136.25,134.20,135.75,2040000
2025-03-26,135.75,136.55,135.05,136.15,2055000
2025-03-27,136.15,137.50,135.50,137.00,2070000
2025-03-28,137.00,137.80,136.30,137.40,2085000
2025-03-31,137.40,138.75,136.75,138.25,2100000
